iter	Passed	Remaining
0	1	1853
1	3	1807
2	5	1953
3	7	1984
4	9	1912
5	11	1843
6	12	1799
7	14	1772
8	16	1769
9	18	1808
10	20	1841
11	22	1824
12	23	1796
13	25	1802
14	27	1794
15	28	1764
16	30	1743
17	32	1753
18	33	1732
19	34	1714
20	36	1690
21	37	1676
22	40	1708
23	41	1707
24	44	1716
25	46	1737
26	48	1743
27	50	1756
28	52	1750
29	53	1741
30	55	1742
31	57	1735
32	58	1723
33	60	1711
34	62	1710
35	64	1724
36	65	1715
37	67	1703
38	68	1695
39	70	1683
40	71	1677
41	73	1671
42	74	1665
43	76	1665
44	78	1665
45	80	1659
46	81	1649
47	82	1640
48	84	1644
49	86	1642
50	88	1641
51	89	1639
52	91	1639
53	93	1632
54	94	1623
55	95	1614
56	97	1606
57	98	1600
58	100	1600
59	102	1599
60	103	1596
61	105	1597
62	107	1602
63	109	1600
64	111	1599
65	112	1594
66	114	1598
67	116	1593
68	117	1589
69	119	1589
70	121	1586
71	122	1578
72	123	1572
73	125	1566
74	127	1576
75	130	1581
76	131	1577
77	133	1574
78	134	1573
79	136	1566
80	137	1564
81	139	1561
82	140	1555
83	142	1551
84	143	1547
85	145	1541
86	146	1541
87	149	1545
88	150	1542
89	152	1538
90	154	1539
91	156	1539
92	157	1537
93	159	1533
94	160	1529
95	162	1527
96	164	1533
97	166	1528
98	167	1522
99	168	1520
100	171	1522
101	172	1522
102	174	1521
103	176	1519
104	179	1525
105	181	1526
106	182	1525
107	184	1523
108	186	1524
109	187	1520
110	190	1523
111	193	1534
112	196	1538
113	198	1539
114	199	1538
115	201	1536
116	202	1530
117	204	1527
118	205	1523
119	207	1521
120	209	1521
121	210	1515
122	212	1512
123	213	1511
124	215	1510
125	217	1508
126	218	1504
127	220	1501
128	222	1500
129	224	1499
130	225	1495
131	226	1492
132	228	1491
133	230	1488
134	232	1486
135	233	1484
136	235	1483
137	237	1482
138	239	1480
139	240	1476
140	242	1475
141	243	1469
142	244	1467
143	246	1466
144	248	1463
145	249	1460
146	251	1459
147	253	1456
148	254	1453
149	255	1448
150	256	1443
151	258	1442
152	260	1440
153	261	1437
154	263	1435
155	265	1434
156	266	1432
157	267	1428
158	279	1477
159	281	1476
160	282	1471
161	283	1468
162	285	1466
163	287	1463
164	289	1463
165	290	1460
166	292	1458
167	293	1455
168	295	1452
169	297	1450
170	298	1446
171	299	1443
172	301	1440
173	302	1437
174	304	1435
175	306	1434
176	308	1432
177	309	1429
178	312	1433
179	314	1433
180	316	1432
181	318	1429
182	319	1426
183	321	1424
184	322	1421
185	323	1417
186	325	1415
187	327	1413
188	328	1410
189	329	1406
190	331	1403
191	333	1403
192	335	1401
193	336	1398
194	338	1396
195	339	1393
196	341	1391
197	342	1388
198	344	1384
199	345	1380
200	346	1376
201	348	1376
202	349	1373
203	351	1371
204	353	1369
205	354	1368
206	356	1366
207	358	1364
208	360	1363
209	361	1360
210	363	1358
211	364	1356
212	366	1355
213	368	1352
214	369	1350
215	372	1351
216	375	1353
217	379	1361
218	381	1360
219	383	1358
220	384	1356
221	387	1356
222	388	1354
223	390	1353
224	392	1352
225	394	1350
226	395	1347
227	397	1345
228	399	1345
229	401	1342
230	402	1340
231	403	1336
232	405	1334
233	407	1334
234	409	1333
235	411	1331
236	412	1328
237	415	1329
238	417	1328
239	419	1328
240	421	1328
241	423	1326
242	425	1325
243	429	1330
244	431	1328
245	432	1326
246	434	1324
247	436	1323
248	438	1321
249	439	1319
250	441	1316
251	442	1313
252	444	1311
253	445	1308
254	446	1304
255	447	1300
256	448	1297
257	450	1294
258	451	1290
259	452	1287
260	454	1286
261	456	1284
262	457	1282
263	459	1279
264	460	1277
265	462	1275
266	464	1273
267	465	1272
268	467	1271
269	469	1268
270	470	1266
271	472	1263
272	473	1260
273	474	1257
274	476	1255
275	477	1252
276	478	1250
277	480	1248
278	482	1246
279	483	1244
280	485	1242
281	487	1240
282	489	1240
283	491	1238
284	492	1236
285	494	1235
286	496	1233
287	498	1231
288	499	1229
289	501	1228
290	503	1225
291	505	1225
